                                                                 OH1665                                                                                                      OH1667
#  src      l  	       b        tau    	    tau_er       v0      v0_er   wid     wid_er   tex    tex_er    noh     noh_er    tau        tau_er 	    v0        v0_er   wid    wid_er   tex    tex_er    noh   noh_er
                                                        [km/s]   [km/s]  [km/s]  [km/s]   [K]     [K]      [e14]   [e14]                            [km/s]   [km/s]  [km/s]  [km/s]   [K]     [K]      [e14]   [e14]     
===================================================================================================================================================================================================================
3C131      171.437   -7.797     0.0521163   0.000709    7.228    0.004   0.552   0.01    5.025    0.247   0.6161   0.1336   0.0858444   0.0007479   7.226    0.003   0.586   0.008   5.432    0.16    0.6465   0.0658
3C132      178.86    -12.522    0.0032571   0.0002496   7.824    0.033   0.89    0.08    15.716   2.079   0.1943   0.4509   0.005611    0.0002885   7.794    0.02    0.815   0.049   23.098   1.269   0.2498   0.1843
3C133      177.726   -9.912     0.1008667   0.0010176   7.664    0.001   0.528   0.005   2.974    0.22    0.6751   0.1576   0.2132292   0.001573    7.677    0.001   0.517   0.004   1.327    1.238   0.3463   0.6994
3C133      177.726   -9.912     0.014829    0.0009653   7.937    0.023   1.229   0.034   5.9      3.41    0.4586   2.177    0.0332783   0.0014675   7.956    0.016   1.233   0.024   6.109    2.221   0.593    1.1824
3C154      185.593   4.003      0.0265674   0.0006058   -2.325   0.015   0.743   0.03    2.606    0.571   0.2194   0.2951   0.0427861   0.0007291   -2.34    0.009   0.709   0.019   2.688    0.353   0.193    0.1228
3C154      185.593   4.003      0.0099697   0.0005394   -1.387   0.042   0.83    0.09    6.145    1.432   0.2169   0.5068   0.017876    0.0006033   -1.342   0.025   0.915   0.058   4.701    0.738   0.1819   0.214
3C154      185.593   4.003      0.0037514   0.0004447   2.228    0.064   1.125   0.159   6.615    3.225   0.119    0.9475   0.0054209   0.0004843   2.184    0.057   1.331   0.143   2.1      1.989   0.0359   0.4612
3C167      207.312   1.153      0.0108681   0.0018769   18.53    0.106   1.269   0.257   4.871    2.234   0.2866   1.2629   0.0108402   0.0013347   17.659   0.159   2.715   0.405   4.652    1.494   0.324    1.0016
3C18       118.622   -52.727    0.0029677   0.0002856   -8.528   0.112   2.501   0.188   10.932   1.99    0.346    1.1567   0.0059519   0.0003201   -8.335   0.048   2.501   0.102   9.273    0.86    0.3267   0.3932
3C18       118.622   -52.727    0.0055979   0.0004287   -7.819   0.022   0.677   0.064   2.045    2.035   0.033    0.4393   0.0078015   0.0004523   -7.851   0.015   0.596   0.043   1.0      0.0     0.011    0.001
3C207      212.968   30.139     0.0152023   0.0002118   4.547    0.005   0.773   0.012   3.17     0.417   0.1588   0.1695   0.0267897   0.000248    4.547    0.004   0.781   0.008   2.572    0.205   0.1274   0.062
3C409      63.398    -6.122     0.0061509   0.0006521   14.63    0.136   1.86    0.145   11.373   1.902   0.5548   1.1853   0.0056619   0.0008331   14.698   0.175   1.676   0.181   7.795    3.857   0.175    1.1513
3C409      63.398    -6.122     0.0199191   0.0011729   15.397   0.009   0.893   0.036   0.166    0.856   0.0126   0.4598   0.0272541   0.0015651   15.414   0.006   0.859   0.029   0.2      0.0     0.0111   0.0007
3C410      69.209    -3.768     0.0120836   0.0002777   6.248    0.011   1.033   0.028   9.4      0.97    0.5004   0.47     0.0249785   0.0003942   6.287    0.009   1.19    0.022   4.312    0.426   0.3033   0.1895
3C410      69.209    -3.768     0.0043147   0.0003487   10.703   0.043   0.698   0.094   11.262   3.315   0.1447   0.6487   0.0083703   0.0005014   10.717   0.044   0.799   0.091   4.423    1.555   0.07     0.2691
3C410      69.209    -3.768     0.0053412   0.0003119   11.668   0.039   0.841   0.091   5.745    2.442   0.11     0.64     0.0113566   0.0004969   11.676   0.033   0.808   0.068   2.92     1.141   0.0634   0.2327
3C454.3    86.111   -38.183     0.0023092   8.72e-05    -9.671   0.03    1.635   0.072   4.614    2.142   0.0743   0.7176   0.0044379   0.0001074   -9.553   0.016   1.367   0.038   8.247    1.222   0.1184   0.2633
3C75       170.256   -44.911    0.0071519   0.0003244   -10.36   0.029   1.325   0.07    3.643    1.092   0.1472   0.5216   0.0141605   0.0003495   -10.362  0.015   1.254   0.036   3.905    0.604   0.1641   0.2132
4C13.67      43.497    9.154    0.0474083   0.0036614   4.88     0.048   1.297   0.116   10.426   0.897   2.734    1.1273   0.0569575   0.0040087   4.945    0.049   1.463   0.12    10.371   0.619   2.0444   0.5568
4C22.12      188.052   0.047    0.0058579   0.0009403   -2.839   0.065   0.791   0.168   6.913    2.351   0.1366   0.6079   0.010316    0.0009703   -2.733   0.043   0.801   0.111   6.75     1.279   0.132    0.2472
4C22.12      188.052   0.047    0.0172332   0.001099    -1.78    0.019   0.56    0.046   4.669    0.954   0.1921   0.2998   0.0355611   0.001166    -1.781   0.01    0.542   0.025   3.797    0.456   0.1732   0.1107
G196.6+0.2   196.64   0.168     0.0043315   0.0005444   3.218    0.101   1.665   0.249   10.946   2.341   0.3367   1.0962   0.0065005   0.0005172   3.428    0.095   2.499   0.24    8.852    1.242   0.3403   0.5937
G197.0+1.1   196.983   1.103    0.0123512   0.0004835   4.83     0.035   1.842   0.085   5.197    0.65    0.5041   0.568    0.0187646   0.0006603   4.722    0.027   1.592   0.066   5.505    0.504   0.3891   0.2607
G197.0+1.1   196.983   1.103    0.0056982   0.0008221   7.457    0.043   0.611   0.103   1.0      0.0     0.0148   0.0033   0.0074827   0.0010594   7.341    0.041   0.595   0.098   1.0      0.0     0.0105   0.0023
G197.0+1.1   196.983   1.103    0.0052782   0.00062     16.409   0.086   1.168   0.222   8.756    1.913   0.2302   0.6943   0.0094346   0.0016973   16.341   0.117   0.946   0.19    7.07     1.332   0.1493   0.2923
G197.0+1.1   196.983   1.103    0.0068789   0.0007958   17.645   0.051   0.71    0.115   5.347    1.885   0.1114   0.4738   0.0124233   0.0009678   17.448   0.116   1.218   0.206   7.147    0.893   0.256    0.291
G197.0+1.1   196.983   1.103    0.0236503   0.0008746   32.009   0.01    0.556   0.024   3.408    0.621   0.191    0.2265   0.042795    0.0011552   32.011   0.007   0.53    0.016   4.349    0.386   0.2336   0.1008
P0428+20   176.808   -18.557    0.0014853   0.0002389   3.598    0.083   1.061   0.203   13.3     4.095   0.0894   0.7141   0.0029407   0.000313    3.551    0.039   0.746   0.093   4.56     2.561   0.0237   0.2451
P0428+20   176.808   -18.557    0.007581    0.0002358   10.702   0.017   1.104   0.041   13.291   0.788   0.4742   0.3239   0.01365     0.00026     10.702   0.01    1.11    0.025   11.71    0.454   0.42     0.14
T0526+24   181.355   -5.193     0.0157538   0.0058001   7.583    0.289   1.655   0.743   13.571   2.779   1.5091   2.6132   0.0358867   0.0058542   7.489    0.15    1.965   0.395   10.207   1.2     1.7035   1.1452
T0629+10   201.532   0.508      0.0040457   0.0025633   0.158    0.188   0.643   0.49    4.071    2.232   0.0452   0.3919   0.0112695   0.0022531   0.326    0.217   0.975   0.426   3.216    0.957   0.0836   0.2376
T0629+10   201.532   0.508      0.0378232   0.0128505   3.129    0.282   0.987   0.431   0.594    0.657   0.0946   0.5402   0.0769122   0.0046022   4.17     0.059   3.171   0.215   0.918    1.866   0.5297   3.8833
T0629+10   201.532   0.508      0.0168271   0.0015823   1.469    0.112   1.43    0.438   1.494    0.46    0.1533   0.3674   0.0206143   0.0034376   1.299    0.099   0.803   0.199   0.5      0.0     0.0196   0.0059
T0629+10   201.532   0.508      0.1630197   0.0280682   3.612    0.022   0.607   0.036   2.331    0.126   0.9835   0.2223   0.2146713   0.0045037   3.554    0.005   0.602   0.016   3.097    0.127   0.9476   0.0899
T0629+10   201.532   0.508      0.081227    0.0020003   4.618    0.011   0.778   0.035   1.225    0.286   0.3304   0.271    0.1004497   0.0043883   4.641    0.007   0.359   0.02    1.475    0.265   0.1257   0.0717
T0629+10   201.532   0.508      0.0749983   0.0018392   6.089    0.017   1.047   0.053   3.736    0.198   1.2506   0.2523   0.1011002   0.0042954   6.098    0.013   0.644   0.037   4.461    0.248   0.6873   0.1297
T0629+10   201.532   0.508      0.0371442   0.0030508   6.993    0.021   0.491   0.056   4.284    0.294   0.3335   0.1276   0.0744161   0.0036286   6.929    0.017   0.641   0.048   3.994    0.223   0.4506   0.1006
T0629+10   201.532   0.508      0.0174045   0.0018016   7.905    0.048   0.827   0.131   3.545    0.457   0.2175   0.2167   0.0295316   0.0024777   7.954    0.032   0.711   0.084   3.459    0.417   0.1718   0.1231
